name,watercourse_code,length,first_point,last_point,is_affluent,classe,river_join
L'Aulouste,O6320500,20.557256395472848,"[0.685461770801995, 43.676739472990626]","[0.652432982770061, 43.803147134498815]",1,4,La Garonne
L'Ousse,O6330530,10.597134805775584,"[0.559987728021607, 43.78936228791732]","[0.664960299772046, 43.8153530662523]",1,4,La Garonne
Ruisseau de Lauze,O6340500,16.330656850833744,"[0.532525707190321, 43.824039347014164]","[0.611878390031981, 43.9266503011286]",1,4,La Garonne
L'Auchie,O6350600,15.742088870132951,"[0.52177026074412, 43.897568188904806]","[0.58291710519868, 43.99818960298371]",1,4,La Garonne
Ruisseau de la Jorle,O6400500,10.960344210927746,"[0.565931544993159, 44.086917690650125]","[0.628014205165781, 44.158083437839274]",1,4,La Garonne
Ruisseau de Brimont,O6400550,11.798460561106412,"[0.527542642168351, 44.10671115917534]","[0.618896735170237, 44.16420899701691]",1,4,La Garonne
La Masse d'Agen,O6410500,18.107977379979857,"[0.735634145315606, 44.306024657507386]","[0.604741068016429, 44.2100845017795]",1,4,La Garonne
Ruisseau de l'Aurandane,O6410590,10.050186837892172,"[0.777393803671284, 44.27472681494155]","[0.679033247237253, 44.23229382101422]",1,4,La Garonne
Ruisseau de Ségone,O6410730,13.100561514353364,"[0.686878789494246, 44.28529723588269]","[0.57321832920517, 44.21788388539517]",1,4,La Garonne
Ruisseau Labourdasse,O6410840,12.15650436864966,"[0.540343082984415, 44.119469207734525]","[0.568625801086122, 44.21038986493307]",1,4,La Garonne
Ruisseau de Bourbon,O6420540,21.335129678647043,"[0.698657872797353, 44.31256451557491]","[0.512260305586317, 44.22381718989336]",1,4,La Garonne
